Date,Max_Daily,Locks
5/21/2022,5,
10/17/2022,0,
3/16/2023,35,
4/3/2023,43,
4/30/2023,0,
5/12/2023,0,
5/14/2023,0,
5/22/2023,33,
5/23/2023,45,
5/25/2023,15,
5/26/2023,16,
5/30/2023,22,
5/31/2023,18,
6/1/2023,17,
6/3/2023,17,
6/4/2023,15,
6/5/2023,14,
6/6/2023,14,
6/7/2023,2,
6/8/2023,3,
6/9/2023,0,
7/17/2023,0,
1/1/2024,111,
1/6/2024,143,
1/7/2024,27,
1/8/2024,20,
1/9/2024,123,
1/12/2024,163,
1/19/2024,93,
1/23/2024,133,
1/25/2024,105,
1/27/2024,11,
1/30/2024,155,
2/5/2024,15,
2/12/2024,166,0
2/15/2024,96,
3/6/2024,57,0
3/15/2024,16,
3/19/2024,17,
3/22/2024,47,
3/26/2024,53,
3/29/2024,80,
4/22/2024,96,0
4/29/2024,49,1
5/3/2024,65,0
5/7/2024,38,
5/9/2024,80,0
5/12/2024,14,0
5/14/2024,62,0
5/16/2024,30,
5/20/2024,61,
5/21/2024,4,
5/24/2024,64,0
5/27/2024,28,0
5/31/2024,47,0
6/4/2024,28,0
6/7/2024,42,0
6/11/2024,9,0
6/12/2024,7,0
6/13/2024,7,0
6/22/2024,0,
9/10/2024,1,1
7/23/2024,0,0
8/3/2024,0,0
8/12/2024,0,0
9/3/2024,1,0
9/5/2024,5,4
9/10/2024,1,1
9/23/2024,8,2
9/27/2024,1,0
10/9/2024,3,2
