,Chum,LocNis,GR
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0.013817914,0.077870052
43,0,0.012958969,0.071078075
44,0,0.012285593,0.063610287
45,0,0.011747322,0.056412042
46,0,0.011309363,0.049533433
47,0,0.010156674,0.043562917
48,0,0.009319221,0.038205801
49,0,0.021459493,0.049209603
50,0,0.020473852,0.043839317
51,0,0.019677822,0.039066562
52,0,0.019024983,0.034772302
53,0,0.01754664,0.031064834
54,0,0.016423026,0.027867808
55,0,0.015544601,0.025047135
56,0,0.05988177,0.083668812
57,0,0.05741498,0.079293267
58,0,0.055411041,0.074599163
59,0,0.05376064,0.069747846
60,0,0.05238369,0.064957519
61,0,0.049414366,0.060453258
62,0,0.047064802,0.056283537
63,0,0.143112822,0.164121453
64,0,0.150033899,0.166876186
65,0,0.151288345,0.167346113
66,0,0.15239199,0.165628224
67,0,0.153378206,0.162646638
68,0,0.154245108,0.158703186
69,0,0.149764441,0.154579049
70,0,0.176013205,0.191408016
71,0,0.176319065,0.191859588
72,0,0.176583094,0.191336147
73,0,0.171124868,0.190312563
74,0,0.166654104,0.189350714
75,0,0.162945604,0.188278658
76,0,0.159857767,0.187915137
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0.020168247,0.101605489
106,0,0.020588971,0.124050953
107,0,0.020974017,0.153881598
108,0,0.021568461,0.194918844
109,0,0.022121158,0.253507372
110,0,0.022633898,0.342865775
111,0,0.02308431,0.488613447
112,0,0.000936446,0.066057039
113,0,0.000943625,0.068134569
114,0,0.000949875,0.072785916
115,0,0.000954739,0.078745751
116,0,0.000958868,0.087514182
117,0,0.000975479,0.099041275
118,0,0.000990818,0.114586438
119,0,0.000279763,0.011198478
120,0,0.000283108,0.012112507
121,0,0.000289561,0.013262398
122,0,0.000295747,0.014754233
123,0,0.000330464,0.018368422
124,0,0.000364846,0.022438123
125,0,0.00040563,0.02812783
126,0,0,0.004242241
127,0,0,0.005346052
128,0,0,0.006616511
129,0,0,0.00802288
130,0,0,0.009511565
131,0,0,0.011022558
132,0,0,0.01512439
133,0,0.000429482,0
134,0,0.000459739,0
135,0,0.0004871,0
136,0,0.000511115,0
137,0,0.000556418,0
138,0,0.000597149,0
139,0,0.000635466,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0.465469644,0,0
148,0.499177783,0,0
149,0.477123848,0,0
150,0.412390554,0,0
151,0.340991414,0,0
152,0.274342222,0,0
153,0.217849713,0,0
154,0.632706844,0,0
155,0.640284118,0,0
156,0.586958241,0,0
157,0.507162612,0,0
158,0.42523863,0,0
159,0.352037609,0,0
160,0.290879916,0,0
161,0.234184226,0,0
162,0.194575257,0,0
163,0.163233629,0,0
164,0.138449933,0,0
165,0.118716034,0,0
166,0.102739219,0,0
167,0.089663312,0,0
168,0.109690387,0,0
169,0.099346108,0,0
170,0.090121788,0,0
171,0.082002098,0,0
172,0.074922088,0,0
173,0.06877465,0,0
174,0.063372268,0,0
175,0.065480591,0,0
176,0.061527017,0,0
177,0.057987167,0,0
178,0.054925209,0,0
179,0.052435344,0,0
180,0.050240452,0,0
181,0.048491436,0,0
182,0.042468038,0,0
183,0.04132244,0,0
184,0.040497771,0,0
185,0.040003483,0,0
186,0.039746114,0,0
187,0.039783463,0,0
188,0.04011969,0,0
189,0.009669407,0,0
190,0.009622319,0,0
191,0.009674102,0,0
192,0.009815301,0,0
193,0.010036754,0,0
194,0.010344347,0,0
195,0.010749842,0,0
196,0.051817622,0,0
197,0.056893018,0,0
198,0.062886251,0,0
199,0.070110425,0,0
200,0.078900613,0,0
201,0.089680066,0,0
202,0.103085343,0,0
203,0.027386824,0,0
204,0.029814107,0,0
205,0.03279088,0,0
206,0.03647657,0,0
207,0.041036376,0,0
208,0.04666073,0,0
209,0.053653302,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
